model,side,layer,cos_unique_shared,cos_unique_raw,cos_shared_raw,cos_unique_conditioning,cos_shared_conditioning,i_unique,i_shared,sigma_unique,sigma_shared,energy_A_unique,energy_B_unique,energy_A_shared,energy_B_shared,count_a,count_b,direction_hash
whisper,decoder,14,9.107298248878237e-17,0.38125524502999475,-0.12495295906147044,-0.17676590832281486,-0.17012006593551895,0,2,0.9789724404306702,0.9150109947343856,12.00093049792593,8.931846526908917,2.5822933767148255,0.8643885973940277,453,378,sha256:65ba2b12700b6289216e992d53b48699292accbe407f36d5f87500281e6a0dae
whisper,decoder,15,-1.734723475976807e-16,0.33965525972275556,-0.31316012939902205,-0.1446832556380665,-0.13228653208996669,0,2,0.9795911588845623,0.9182846322218773,10.73107307091293,8.975165179381769,2.014525433149873,0.8913010177469755,453,378,sha256:4bbeb6078780ad457449fd612b967d2dfe3a9431d33e46d613fb9e255c67c008
whisper,decoder,16,-3.122502256758253e-16,0.31816440982401384,-0.25223095510599375,-0.1208264242329969,-0.21154691368532233,0,1,0.9749795670692806,0.9238022940847348,12.468096743323827,9.571291714275615,4.040015077957204,0.8210465585180039,453,378,sha256:f82f7790b6df3ee2a9b8cacda1a98c91a35cdb7e894008e58dde15314f9f7bff
whisper,decoder,17,-4.371503159461554e-16,0.3432483583405022,-0.21172472866076109,-0.1291792657623113,-0.17816332855036213,0,1,0.9695579763411329,0.917781308058516,14.661623830606572,10.052431136487437,2.717994465905333,0.7879696392717148,453,378,sha256:b50e95836fad66d26b8e8579930a819baa9524c96ef7999dd251def26b0fd05c
whisper,decoder,18,1.3877787807814457e-16,0.4978762355985252,-0.34611783551643804,-0.06266370418649822,-0.10115870071562068,0,1,0.9735069598625496,0.9256394747593264,18.787394321094922,9.387087822861002,4.412306985793432,0.7302931706129763,453,378,sha256:e77c03013db9e87d39cdbab023ebae7b39f0c5a4166c3e38a42125cf93378479
whisper,decoder,19,2.0816681711721685e-16,0.4103653779462683,-0.3172655742077112,-0.13612642216770648,-0.0948892147142491,0,1,0.9754386855691582,0.9350368763468024,20.0114168492116,11.77025774109968,5.067416197367825,0.7991556071703566,453,378,sha256:0b5b5c22490dc7ceb0dc93711d9a003a7d9d5e67774e412c333c50bfebd3a03f
whisper,decoder,20,-8.153200337090993e-17,0.3362569316238281,-0.25525646442309946,-0.15545381770849465,-0.08220757732841821,0,1,0.9757278800190493,0.9349618846459447,19.75718430734781,13.227302145334463,4.899062563779355,1.1044066407679725,453,378,sha256:12be148bf1d2a4eaa20903ed65b1b709f9d93bd84b60849e85a17e1ab23d8675
whisper,decoder,21,-3.469446951953614e-16,0.28947665821506047,-0.2523059953471469,-0.15466905289538702,-0.10343975976384726,0,1,0.9800187325992838,0.9363332402617071,21.651293168949785,16.576383494172227,4.40818308381815,1.1902468872238825,453,378,sha256:e250150e109756047b3d7f2cc48369321d653925e40d55fc30a68161f98ec036
whisper,decoder,22,-9.71445146547012e-17,0.2851279868933277,0.07987931620110009,-0.15531491150990073,0.0495992355923124,0,1,0.9827160946594565,0.9330845607134658,24.137524853840603,18.20111393874287,2.47814370756023,1.3932222455158212,453,378,sha256:b4f6df649b4fedccdf195da582a6066d4f848d6c45cc39d759b6c52229b1d687
whisper,decoder,23,2.445960101127298e-16,0.26493653719580357,-0.232556817686269,-0.122924676281566,-0.09531809758610614,0,1,0.98340714921775,0.9323298788613336,28.832195214303006,20.231726036577317,3.9358131926472524,1.0913960773437474,453,378,sha256:800512e313b0919278e77da267866125517d357c6be801ab6ad21b44bfedbce2
whisper,decoder,24,-1.1796119636642288e-16,0.32620016393471285,0.17713319052947968,-0.041124683300517086,0.03802527604334373,0,3,0.9874053575839973,0.9251221904282799,38.41903133948302,24.000745241696432,3.8437653941080625,1.2371387432698149,453,378,sha256:b40b29af2de4a0e7a1e762cfabd395c0fb63ba82bda6bed966567efc1de0df92
