model,side,layer,direction,comparator,cosine,angle_deg,raw_l2,unit_l2_identity,a5_norm,comparator_norm,direction_hash
whisper,decoder,2,neg_shared,Conditioning,0.048400363070257794,87.22577960351214,1.3795648848952984,1.3795648848952984,0.9999999403953552,1.0,sha256:1700cdebd52245d9aa48e1daa3ae18382f6dd0836289cb6f01fa97758a7329f7
whisper,decoder,2,pos_unique,Raw,-0.0405764830591056,92.32549966157548,1.4426201757124648,1.4426201757124648,1.0,1.0,sha256:0a600602f6d28f6ba2540827e76f93f0aea8e39d962f78212b02b9b1faeda30a
whisper,decoder,2,pos_unique,Conditioning,0.00395549230187415,89.77336639422165,1.411413837487327,1.411413837487327,1.0,1.0,sha256:0a600602f6d28f6ba2540827e76f93f0aea8e39d962f78212b02b9b1faeda30a
whisper,decoder,2,unique_minus_shared,Raw,-0.23459845567862944,103.56795430038521,1.5713678386737062,1.5713678386737062,0.9999999403953552,1.0,sha256:67f17c1327afc9fe1daa4675c6bb53be2adbe44ea6211b5fbf2c0b5cc6f35938
whisper,decoder,2,unique_minus_shared,Conditioning,0.03702117882564739,87.87835787000277,1.3877887619479794,1.3877887619479794,0.9999999403953552,1.0,sha256:67f17c1327afc9fe1daa4675c6bb53be2adbe44ea6211b5fbf2c0b5cc6f35938
whisper,decoder,3,neg_shared,Raw,-0.27797288349265603,106.1392572468067,1.5987325498574598,1.5987325498574598,1.0,1.0,sha256:2562bcb8e0dda5b29762352679442234bcb31db347be3eb12a11fe34c3806cc4
whisper,decoder,3,neg_shared,Conditioning,0.006560489057340493,89.62410896904704,1.4095669621815565,1.4095669621815565,1.0,1.0,sha256:2562bcb8e0dda5b29762352679442234bcb31db347be3eb12a11fe34c3806cc4
whisper,decoder,3,pos_unique,Raw,-0.30265432012447235,107.61709770653648,1.614096849004539,1.614096849004539,1.0,1.0,sha256:d86e0b3826aab9b3c695a785bf31f7286c27b0e028ba33ff6cb1d2fc9e04c712
whisper,decoder,3,pos_unique,Conditioning,-0.06458504267684827,93.70302777612926,1.4591675993768274,1.4591675993768274,1.0,1.0,sha256:d86e0b3826aab9b3c695a785bf31f7286c27b0e028ba33ff6cb1d2fc9e04c712
whisper,decoder,3,unique_minus_shared,Raw,-0.41056543270256834,114.24035934828763,1.6796222399368874,1.6796222399368874,1.0,1.0,sha256:c13906ccc03b459f32fbc2d99c718b8c07c71406816887c78d27708d47157e21
whisper,decoder,3,unique_minus_shared,Conditioning,-0.0410295559496236,92.35148046278812,1.4429342034149437,1.4429342034149437,1.0,1.0,sha256:c13906ccc03b459f32fbc2d99c718b8c07c71406816887c78d27708d47157e21
