direction,layer,rho,wer,mer,pier,en_wer,matrix_cer,corrections,corruptions,utility,outside_harm,embed_retention,matrix_retention,energy,utility_per_energy,edits,effective_dose,direction_hash,source
Conditioning,3,2.0,n/a — no frozen canonical overall WER,1.7296296296296296,0.9852941176470589,1.0147058823529411,1.984924623115578,0,18,-125.0,119,0.05263157894736842,0.398876404494382,3619.7837386131287,-0.03453244973355565,677,9.355833536472495,sha256:3ebb42215d4e2da499551a5113e164fef428c078d39b1237bc1eb4d70c69f55a,NEW
Local+Cond,3,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,263.368200302124,0.0,232,1.169479192059062,sha256:3cca7622012d83d7c9d5d93b2f5242f8faf9a2e34f9019a6d68ea77e2cb019f6,NEW
Local+Cond,3,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,490.6754779815674,-0.0020380068800535532,231,2.338958384118124,sha256:3cca7622012d83d7c9d5d93b2f5242f8faf9a2e34f9019a6d68ea77e2cb019f6,NEW
Local+Cond,3,1.0,n/a — no frozen canonical overall WER,0.3111111111111111,0.8235294117647058,0.8235294117647058,0.12562814070351758,0,7,-12.0,7,0.631578947368421,0.9719101123595506,808.8405010700226,-0.014836052329383962,230,4.677916768236248,sha256:3cca7622012d83d7c9d5d93b2f5242f8faf9a2e34f9019a6d68ea77e2cb019f6,NEW
Local+Cond,3,2.0,n/a — no frozen canonical overall WER,3.477777777777778,0.9852941176470589,1.0147058823529411,4.36180904522613,0,18,-124.0,118,0.05263157894736842,0.4044943820224719,3549.5039308071136,-0.03493445912928005,670,9.355833536472495,sha256:3cca7622012d83d7c9d5d93b2f5242f8faf9a2e34f9019a6d68ea77e2cb019f6,NEW
Local,3,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,259.64970993995667,0.0,232,1.169479192059062,sha256:b18f81386b301d136229395709e0fa1402336c46b3a99a31cc764d5e64e86aab,NEW
Local,3,0.5,n/a — no frozen canonical overall WER,0.2777777777777778,0.7205882352941176,0.7205882352941176,0.11557788944723618,0,0,-3.0,3,1.0,0.9831460674157303,485.02010214328766,-0.006185310643297257,233,2.338958384118124,sha256:b18f81386b301d136229395709e0fa1402336c46b3a99a31cc764d5e64e86aab,NEW
Local,3,1.0,n/a — no frozen canonical overall WER,1.011111111111111,0.8676470588235294,0.8676470588235294,1.0603015075376885,2,12,-92.0,91,0.3684210526315789,0.5393258426966292,1215.069081068039,-0.07571585964407268,344,4.677916768236248,sha256:b18f81386b301d136229395709e0fa1402336c46b3a99a31cc764d5e64e86aab,NEW
Local,3,2.0,n/a — no frozen canonical overall WER,1.0629629629629629,0.9852941176470589,0.9852941176470589,1.0904522613065326,0,18,-183.0,177,0.05263157894736842,0.07303370786516854,719.8326170444489,-0.25422576813951175,146,9.355833536472495,sha256:b18f81386b301d136229395709e0fa1402336c46b3a99a31cc764d5e64e86aab,NEW
Raw+Cond,3,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,263.369801402092,0.0,232,1.169479192059062,sha256:8cea249d5ec5ac20069a90a517dab561a1e3c33df034a628413c0a993cac252a,NEW
